meeting_id,project_id,project_name,meeting_type_id,meeting_type,meeting_date,meeting_minutes,attendee_contact_id,attendee_name,meeting_time
49,4,Office Move,1.0,Project Team,2022-03-09 17:14:54,Review was a success,7.0,Jerri Shaw,2022-03-09 16:00:00
49,4,Office Move,1.0,Project Team,2022-03-09 17:14:54,Review was a success,8.0,Shally Singh-Smith,2022-03-09 16:00:00
58,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,102.0,Sherry Jackson,00:00:00
58,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,103.0,William Howard,00:00:00
58,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,104.0,Brian Oswald,00:00:00
58,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,105.0,Jason Bless,00:00:00
59,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,102.0,Sherry Jackson,2022-03-16 06:00:00
59,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,103.0,William Howard,2022-03-16 06:00:00
59,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,104.0,Brian Oswald,2022-03-16 06:00:00
59,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,105.0,Jason Bless,2022-03-16 06:00:00
60,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,102.0,Sherry Jackson,00:00:00
60,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,103.0,William Howard,00:00:00
60,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,104.0,Brian Oswald,00:00:00
60,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,105.0,Jason Bless,00:00:00
61,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,102.0,Sherry Jackson,00:00:00
61,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,103.0,William Howard,00:00:00
61,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,104.0,Brian Oswald,00:00:00
61,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,105.0,Jason Bless,00:00:00
62,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,102.0,Sherry Jackson,00:00:00
62,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,103.0,William Howard,00:00:00
62,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,104.0,Brian Oswald,00:00:00
62,56,Deck Construction #47,1.0,Project Team,2022-03-12 18:02:26,No minutes recorded,105.0,Jason Bless,00:00:00
63,60,ACEP Marketing Event,3.0,Unscheduled,2022-03-14 10:56:54,No minutes recorded,Unknown,Unknown,2022-03-14 05:00:00
70,4,Office Move,1.0,Project Team,2022-03-24 11:31:52,No minutes recorded,Unknown,Unknown,00:00:00
70,4,Office Move,1.0,Project Team,2022-03-24 11:31:52,No minutes recorded,Unknown,Unknown,00:00:00
70,4,Office Move,1.0,Project Team,2022-03-24 11:31:52,No minutes recorded,Unknown,Unknown,00:00:00
70,4,Office Move,1.0,Project Team,2022-03-24 11:31:52,No minutes recorded,Unknown,Unknown,00:00:00
70,4,Office Move,1.0,Project Team,2022-03-24 11:31:52,No minutes recorded,111.0,Lew Ischinger,00:00:00
71,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,Testing logo placement,165.0,Unknown,2022-03-30 13:00:00
71,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,Testing logo placement,166.0,Sreenath CK,2022-03-30 13:00:00
71,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,Testing logo placement,167.0,Chandler Bing,2022-03-30 13:00:00
71,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,Testing logo placement,168.0,Marcelo Paredes Breilh,2022-03-30 13:00:00
72,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,testing to see if logo appears,165.0,Unknown,2022-04-06 13:00:00
72,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,testing to see if logo appears,167.0,Chandler Bing,2022-04-06 13:00:00
72,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,testing to see if logo appears,168.0,Marcelo Paredes Breilh,2022-04-06 13:00:00
73,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,165.0,Unknown,00:00:00
73,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,167.0,Chandler Bing,00:00:00
73,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,168.0,Marcelo Paredes Breilh,00:00:00
74,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,165.0,Unknown,00:00:00
74,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,167.0,Chandler Bing,00:00:00
74,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,No minutes recorded,168.0,Marcelo Paredes Breilh,00:00:00
75,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,esssss,165.0,Unknown,2022-04-27 13:00:00
75,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,esssss,167.0,Chandler Bing,2022-04-27 13:00:00
75,79,Project 13,1.0,Project Team,2022-03-28 19:07:54,esssss,168.0,Marcelo Paredes Breilh,2022-04-27 13:00:00
76,79,Project 13,Unknown,Unknown,2022-03-28 19:21:42,No minutes recorded,168.0,Marcelo Paredes Breilh,00:00:00
77,79,Project 13,Unknown,Unknown,2022-03-28 19:27:16,No minutes recorded,163.0,Alley Beal,2022-03-28 19:27:00
77,79,Project 13,Unknown,Unknown,2022-03-28 19:27:16,No minutes recorded,165.0,Unknown,2022-03-28 19:27:00
77,79,Project 13,Unknown,Unknown,2022-03-28 19:27:16,No minutes recorded,166.0,Sreenath CK,2022-03-28 19:27:00
77,79,Project 13,Unknown,Unknown,2022-03-28 19:27:16,No minutes recorded,167.0,Chandler Bing,2022-03-28 19:27:00
77,79,Project 13,Unknown,Unknown,2022-03-28 19:27:16,No minutes recorded,168.0,Marcelo Paredes Breilh,2022-03-28 19:27:00
78,79,Project 13,1.0,Project Team,2022-03-28 19:30:29,No minutes recorded,165.0,Unknown,2022-03-14 09:00:00
78,79,Project 13,1.0,Project Team,2022-03-28 19:30:29,No minutes recorded,167.0,Chandler Bing,2022-03-14 09:00:00
78,79,Project 13,1.0,Project Team,2022-03-28 19:30:29,No minutes recorded,168.0,Marcelo Paredes Breilh,2022-03-14 09:00:00
79,79,Project 13,Unknown,Unknown,2022-03-28 19:34:20,No minutes recorded,168.0,Marcelo Paredes Breilh,00:00:00
84,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,Several actions and risks were also discussed at this CAB,7.0,Jerri Shaw,2022-02-17 08:00:00
84,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,Several actions and risks were also discussed at this CAB,8.0,Shally Singh-Smith,2022-02-17 08:00:00
84,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,Several actions and risks were also discussed at this CAB,12.0,Jan Dietrich,2022-02-17 08:00:00
84,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,Several actions and risks were also discussed at this CAB,111.0,Lew Ischinger,2022-02-17 08:00:00
86,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,7.0,Jerri Shaw,00:00:00
86,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,8.0,Shally Singh-Smith,00:00:00
86,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,12.0,Jan Dietrich,00:00:00
86,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,111.0,Lew Ischinger,00:00:00
87,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,7.0,Jerri Shaw,00:00:00
87,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,8.0,Shally Singh-Smith,00:00:00
87,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,12.0,Jan Dietrich,00:00:00
87,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,111.0,Lew Ischinger,00:00:00
88,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,7.0,Jerri Shaw,00:00:00
88,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,8.0,Shally Singh-Smith,00:00:00
88,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,12.0,Jan Dietrich,00:00:00
88,4,Office Move,5.0,Executive Meeting,2022-03-31 17:39:56,No minutes recorded,111.0,Lew Ischinger,00:00:00
89,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,6.0,T.J. Shalmark,2022-03-30 20:00:00
89,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,7.0,Jerri Shaw,2022-03-30 20:00:00
89,4,Office Move,1.0,Project Team,2022-03-31 17:40:43,No minutes recorded,8.0,Shally Singh-Smith,2022-03-30 20:00:00
